名前,ふりがな,アドレス,性別,年齢,誕生日,婚姻,都道府県,電話番号,携帯,キャリア,カレーの食べ方
小久保 美佐,こくぼ みさ,kokubo_misa@example.com,女,65,1956/9/6,既婚,広島県,051-464- 825,090- 349-6253,ドコモ,左ルー・せき止め派
浅見 なぎさ,あさみ なぎさ,asami_nagisa@example.com,女,41,1980/3/26,既婚,山形県,097-613-3253,080-8690-1896,ドコモ,別盛り・別口派
深谷 進,ふかや すすむ,fukaya_susumu@example.com,男,70,1951/7/27,既婚,千葉県,015-734-3879,090-8460-8750,au,右ルー・せき止め派
馬場 七世,ばば ななせ,baba_nanase@example.com,女,21,2000/5/17,未婚,兵庫県,029-341-5253,090-5519-8653,au,右ルー・せき止め派
小柳 愛,こやなぎ あい,koyanagi_ai@example.com,女,64,1957/6/14,既婚,神奈川県,079-247-9668,080-9958-3344,ドコモ,奥ルー・せき止め派
寺沢 芳正,てらさわ よしまさ,terasawa_yoshimasa@example.com,男,49,1972/5/3,既婚,高知県,086-253- 679,090-7292-2226,ドコモ,ぶっかけ・ルー攻め派
阿部 真帆,あべ まほ,abe_maho@example.com,女,71,1950/5/31,既婚,北海道,024-892-3170,080-1074-1226,au,ぶっかけ・ルー攻め派
三木 孝太郎,みき こうたろう,miki_koutarou@example.com,男,30,1990/12/30,既婚,山口県,020-793-8464,090-7280-3936,ドコモ,右ルー・混ぜ混ぜ派
村松 由宇,むらまつ ゆう,muramatsu_yuu@example.com,女,66,1954/11/7,既婚,東京都,016-698-7210,080-2295-9719,ドコモ,左ルー・せき止め派
三橋 あさみ,みはし あさみ,mihashi_asami@example.com,女,58,1963/9/17,既婚,熊本県,072-992-2286,090-6695-5005,ドコモ,ぶっかけ・せき止め派
宇多田 雅彦,うただ まさひこ,utada_masahiko@example.com,男,63,1958/7/3,既婚,宮城県,028-560-3207,080- 720-2040,au,奥ルー・ルー攻め派
上田 里奈,うえだ りな,ueda_rina@example.com,女,39,1981/10/19,既婚,静岡県,045-576-5947,080-5247-8344,au,ぶっかけ・混ぜ混ぜ派
谷村 朝香,たにむら あさか,tanimura_asaka@example.com,女,58,1963/5/25,既婚,東京都,095-104-2632,080-4867-2436,ドコモ,手前ルー・別口派
宮坂 ジローラモ,みやさか じろーらも,miyasaka_girolamo@example.com,男,58,1963/5/7,既婚,神奈川県,075-453-2603,080-5598-9025,au,奥ルー・混ぜ混ぜ派
江川 徹,えがわ とおる,egawa_tooru@example.com,男,67,1954/5/13,既婚,宮城県,019-956-9738,080-4101-4191,ツーカー,左ルー・別口派
笠井 夏希,かさい なつき,kasai_natsuki@example.com,女,80,1941/1/25,既婚,埼玉県,091-635-7656,090-4508-3100,au,手前ルー・別口派
村上 あき,むらかみ あき,murakami_aki@example.com,女,41,1979/12/21,既婚,埼玉県,081-387-7115,090-3219-1628,ドコモ,ぶっかけ・せき止め派
永田 涼,ながた りょう,nagata_ryou@example.com,女,57,1963/12/24,既婚,熊本県,055-504-4355,090-8316-9485,au,ぶっかけ・混ぜ混ぜ派
市川 優,いちかわ ゆう,ichikawa_yuu@example.com,女,62,1958/10/11,既婚,栃木県,043-555-9934,090-8591-7523,au,奥ルー・混ぜ混ぜ派
稲垣 広之,いながき ひろゆき,inagaki_hiroyuki@example.com,男,74,1946/11/22,既婚,静岡県,074-889-1254,080-6800-9418,ドコモ,左ルー・ナン派
松島 涼,まつしま りょう,matsushima_ryou@example.com,女,22,1999/6/24,未婚,神奈川県,057-355-6159,080-3207-8250,ドコモ,ぶっかけ・別口派
大場 雅彦,おおば まさひこ,ooba_masahiko@example.com,男,30,1991/1/26,既婚,千葉県,030-269-4176,080-1179-2432,ドコモ,ぶっかけ・ルー攻め派
菊池 あき,きくち あき,kikuchi_aki@example.com,女,28,1992/11/7,既婚,愛知県,072-549-6372,090-5230-3093,ドコモ,ぶっかけ・せき止め派
西 えみ,にし えみ,nishi_emi@example.com,女,65,1955/11/25,既婚,神奈川県,060-275-1889,090-2144-2460,ドコモ,ぶっかけ・別口派
綾小路 寿々花,あやのこうじ すずか,ayanokouji_suzuka@example.com,女,23,1998/8/11,未婚,大阪府,095-411-1653,090- 224-7028,au,左ルー・ルー攻め派
沢 かおり,さわ かおり,sawa_kaori@example.com,女,48,1973/8/25,既婚,愛知県,092-442-8040,090-5086-9570,ドコモ,左ルー・せき止め派
川西 耕司,かわにし こうじ,kawanishi_kouji@example.com,男,60,1961/1/14,既婚,岡山県,074-472-4391,090-9819-9952,au,手前ルー・せき止め派
小柳 昌代,こやなぎ まさよ,koyanagi_masayo@example.com,女,61,1960/4/5,既婚,兵庫県,021-247-7804,090-7771- 710,ソフトバンク,ぶっかけ・せき止め派
滝 菜摘,たき なつみ,taki_natsumi@example.com,女,24,1997/8/24,既婚,石川県,067-849- 696,090-6983-4663,ソフトバンク,左ルー・ルー攻め派
杉原 美優,すぎはら みゅう,sugihara_myuu@example.com,女,61,1960/8/4,既婚,佐賀県,093-357-5113,090-1604-9484,au,ぶっかけ・ルー攻め派
橋本 博明,はしもと ひろあき,hashimoto_hiroaki@example.com,男,51,1969/11/10,既婚,大阪府,018-246-8113,080-8432-4548,ドコモ,ぶっかけ・ルー攻め派
小野 徹,おの とおる,ono_tohru@example.com,男,31,1989/10/10,未婚,兵庫県,012-365-9391,090-9187-2925,ソフトバンク,ぶっかけ・せき止め派
赤松 由樹,あかまつ ゆき,akamatsu_yuki@example.com,女,59,1961/12/20,既婚,静岡県,089-919-5199,090-6808-1902,ドコモ,ぶっかけ・別口派
白井 一恵,しらい かづえ,shirai_kadue@example.com,女,67,1953/12/1,既婚,栃木県,016-561-8501,080-9241-6851,ソフトバンク,手前ルー・せき止め派
滝川 亮,たきがわ りょう,takigawa_ryou@example.com,男,52,1969/2/13,既婚,東京都,090-507-9065,080-8106-5625,au,右ルー・別口派
富田 法嗣,とみた ほうし,tomita_houshi@example.com,男,37,1983/10/27,未婚,北海道,050-232-9206,090-6581-1953,ドコモ,ぶっかけ・せき止め派
三上 大樹,みかみ ひろき,mikami_hiroki@example.com,男,55,1966/5/27,既婚,大阪府,069-809-3438,080-5309- 406,au,左ルー・せき止め派
木戸 広司,きど こうじ,kido_kouji@example.com,男,76,1944/11/2,既婚,大分県,064-780-8924,080-5866-6792,ソフトバンク,ぶっかけ・別口派
高橋 博明,たかはし ひろあき,takahashi_hiroaki@example.com,男,28,1993/7/16,既婚,東京都,052-193-3475,080-6035-3657,au,右ルー・混ぜ混ぜ派
松本 樹里,まつもと じゅり,matsumoto_juri@example.com,女,71,1950/1/13,既婚,神奈川県,0 4-966- 470,090-6924-4340,ドコモ,左ルー・ルー攻め派
前野 きみまろ,まえの きみまろ,maeno_kimimaro@example.com,男,24,1997/5/20,既婚,栃木県,015- 89-3573,080-7585-4733,ドコモ,手前ルー・ルー攻め派
早川 幸子,はやかわ さちこ,hayakawa_sachiko@example.com,女,40,1980/12/12,既婚,北海道,0  -931-1994,080-6527-7649,au,手前ルー・ルー攻め派
小泉 将也,こいずみ まさや,koizumi_masaya@example.com,男,44,1977/3/12,未婚,福岡県,032-488-3888,090-9768-3582,ドコモ,左ルー・せき止め派
吉永 雅功,よしなが まさとし,yoshinaga_masatoshi@example.com,男,59,1962/5/12,既婚,東京都,058-419-6925,080-3829-6028,au,右ルー・別口派
藤野 奈々,ふじの なな,fujino_nana@example.com,女,67,1954/9/22,既婚,長野県,077-491-4279,080-3016-3526,ドコモ,左ルー・せき止め派
山野 新太,やまの あらた,yamano_arata@example.com,男,30,1991/6/16,既婚,京都府,086-683-8384,090-1148-8126,au,右ルー・別口派
諏訪 麗奈,すわ れな,suwa_rena@example.com,女,68,1953/9/20,既婚,埼玉県,098-568-6434,090- 903-3002,ドコモ,奥ルー・せき止め派
鹿賀 敦,かが あつし,kaga_atsushi@example.com,男,28,1993/5/20,既婚,京都府,064-658-6753,080-9172-3708,ドコモ,奥ルー・ルー攻め派
田端 啓介,たばた けいすけ,tabata_keisuke@example.com,男,59,1962/5/21,既婚,千葉県,053-200-9674,080-4651-5833,au,手前ルー・せき止め派
岡山 真一,おかやま しんいち,okayama_shinichi@example.com,男,26,1994/12/12,未婚,愛媛県,069-714-5762,080-8017-8456,ドコモ,奥ルー・混ぜ混ぜ派
小関 賢治,こぜき けんじ,kozeki_kenji@example.com,男,77,1944/7/9,既婚,神奈川県,018-467-2351,090-8251-7909,ドコモ,手前ルー・混ぜ混ぜ派
山城 優,やましろ ゆう,yamashiro_yuu@example.com,男,73,1947/12/18,既婚,埼玉県,070-608-3122,090-1244-4427,ソフトバンク,左ルー・ルー攻め派
大川 瞬,おおかわ しゅん,ookawa_shun@example.com,女,48,1973/2/10,既婚,埼玉県,046-713-3477,080-4008- 919,ドコモ,左ルー・混ぜ混ぜ派
藤島 みあ,ふじしま みあ,fujishima_mia@example.com,女,36,1984/11/1,既婚,静岡県,0 6- 46-1680,080-9843-5208,ソフトバンク,ぶっかけ・別口派
笹川 将也,ささがわ まさや,sasagawa_masaya@example.com,男,21,1999/10/3,未婚,千葉県,091-267-6476,090-6562-2428,ソフトバンク,左ルー・せき止め派
土居 大樹,どい ひろき,doi_hiroki@example.com,男,52,1969/1/11,既婚,埼玉県,033-123-8338,080-7217- 464,au,左ルー・ルー攻め派
尾崎 長利,おざき ながとし,ozaki_nagatoshi@example.com,男,41,1980/4/15,既婚,埼玉県,014-258- 253,090-5720-7055,au,奥ルー・ルー攻め派
中山 ヒロ,なかやま ひろ,nakayama_hiro@example.com,男,44,1977/8/22,既婚,東京都,045-405-2420,080-4063-4009,au,別盛り・混ぜ混ぜ派
篠山 遥,しのやま はるか,shinoyama_haruka@example.com,女,57,1964/1/2,既婚,愛知県,076-854-3410,090- 493-3594,ドコモ,左ルー・せき止め派
若林 佳乃,わかばやし よしの,wakabayashi_yoshino@example.com,女,56,1965/6/11,既婚,長野県,0 4- 57-3306,090-4417-4768,au,左ルー・ルー攻め派
小久保 まさし,こくぼ まさし,kokubo_masashi@example.com,男,41,1980/8/16,既婚,兵庫県,036-458-2737,080-5325-4393,ドコモ,ぶっかけ・別口派
白井 南朋,しらい なお,shirai_nao@example.com,女,22,1999/1/12,未婚,青森県,0 7-513-6713,090-6581-8118,au,ぶっかけ・混ぜ混ぜ派
大田 貴美子,おおた きみこ,oota_kimiko@example.com,女,34,1987/5/12,既婚,北海道,024-317-5694,090-2708-2619,ソフトバンク,左ルー・別口派
森井 玲那,もりい れな,morii_rena@example.com,女,61,1959/11/1,既婚,長崎県,085-711-8956,080-6543-3617,ドコモ,ぶっかけ・ルー攻め派
小田 隆太,おだ りゅうた,oda_ryuuta@example.com,男,42,1979/4/15,既婚,宮城県,089-368-2061,080-9999-3493,ドコモ,左ルー・混ぜ混ぜ派
三原 充則,みはら みつのり,mihara_mitsunori@example.com,男,57,1964/5/22,既婚,岡山県,055-323-7872,090-3100-5985,au,手前ルー・せき止め派
浅沼 大五郎,あさぬま だいごろう,asanuma_daigorou@example.com,男,31,1990/1/3,既婚,千葉県,047-779-6341,080- 760-8964,au,手前ルー・ナン派
松野 あおい,まつの あおい,matsuno_aoi@example.com,女,49,1972/1/26,既婚,北海道,069-443-7494,080-1782-6545,ドコモ,右ルー・ナン派
相田 知世,あいだ ちせ,aida_chise@example.com,女,23,1997/10/19,未婚,愛媛県,0 9-903-9249,080-8345-7618,ドコモ,ぶっかけ・せき止め派
三沢 功補,みさわ こうすけ,misawa_kousuke@example.com,男,47,1973/10/14,既婚,岡山県,0  -879-8535,090-8540- 961,ドコモ,左ルー・混ぜ混ぜ派
栗山 美智子,くりやま みちこ,kuriyama_michiko@example.com,女,59,1962/8/12,既婚,高知県,030-828-8610,090- 905-6264,au,左ルー・混ぜ混ぜ派
沢村 莉緒,さわむら りお,sawamura_rio@example.com,女,32,1988/12/2,既婚,埼玉県,043-437-4039,090-8857-9911,au,ぶっかけ・ルー攻め派
中岡 咲,なかおか さき,nakaoka_saki@example.com,女,70,1951/2/22,既婚,長崎県,052-619-9261,090-5300-8109,au,右ルー・せき止め派
田川 徹平,たがわ てっぺい,tagawa_teppei@example.com,男,54,1967/8/2,既婚,東京都,034-355-9407,090-7978-7903,au,左ルー・ルー攻め派
平 有起哉,たいら ゆきや,taira_yukiya@example.com,男,51,1970/8/6,既婚,大阪府,087-686-9382,080-3231-1223,ドコモ,ぶっかけ・ルー攻め派
瀬戸 早紀,せと さき,seto_saki@example.com,女,73,1948/9/15,既婚,千葉県,033-939-9775,080-1341-5126,ドコモ,左ルー・せき止め派
大崎 エリカ,おおさき えりか,oosaki_erika@example.com,女,22,1999/9/1,既婚,北海道,076-421-4198,080- 530-6527,au,ぶっかけ・別口派
美輪 賢治,みわ けんじ,miwa_kenji@example.com,男,40,1981/7/2,既婚,兵庫県,093-845-5249,090-1171-6783,au,奥ルー・せき止め派
新田 玲那,あらた れな,arata_rena@example.com,女,37,1984/4/28,既婚,熊本県,077-898-3650,080-1750-9232,ドコモ,左ルー・ルー攻め派
大村 さんま,おおむら さんま,oomura_sanma@example.com,男,76,1945/5/15,既婚,秋田県,043-534-6648,080-7145-8066,ドコモ,奥ルー・ルー攻め派
湊 雄太,みなと ゆうた,minato_yuuta@example.com,男,54,1967/9/20,既婚,山口県,018-310-6695,080-8887-9826,ドコモ,左ルー・ルー攻め派
玉城 愛菜,たまき あいな,tamaki_aina@example.com,女,40,1981/7/9,既婚,神奈川県,046-989-6146,090-2718-3388,ソフトバンク,ぶっかけ・混ぜ混ぜ派
河野 有海,こうの あみ,kouno_ami@example.com,女,80,1941/6/2,既婚,神奈川県,0 9-298-8305,080-4361-7841,au,ぶっかけ・ルー攻め派
塚本 綾,つかもと あや,tsukamoto_aya@example.com,女,54,1967/3/1,既婚,宮城県,090-638-7656,080-8560-4511,ドコモ,ぶっかけ・ルー攻め派
谷本 聡,たにもと さとし,tanimoto_satoshi@example.com,男,70,1951/7/20,既婚,岩手県,056-297-3186,080-4711-9267,au,左ルー・ナン派
竹中 満,たけなか みつる,takenaka_mitsuru@example.com,男,41,1980/8/29,既婚,北海道,097- 35- 798,080-5594-3128,ドコモ,ぶっかけ・ルー攻め派
森脇 直人,もりわき なおと,moriwaki_naoto@example.com,男,41,1980/4/17,既婚,大分県,057-744-5012,090- 302- 564,ソフトバンク,手前ルー・せき止め派
山野 進,やまの すすむ,yamano_susumu@example.com,男,58,1963/7/11,既婚,鳥取県,026-946-1652,080-3545-1651,au,左ルー・別口派
峰 ノブヒコ,みね のぶひこ,mine_nobuhiko@example.com,男,79,1942/2/9,既婚,岐阜県,094-938-5381,090-5157-5546,ドコモ,手前ルー・別口派
菅野 惇,かんの あつし,kanno_atsushi@example.com,男,38,1983/5/5,既婚,埼玉県,016-717-7265,090-3151- 675,ソフトバンク,ぶっかけ・ナン派
志田 宏行,しだ ひろゆき,shida_hiroyuki@example.com,男,56,1964/11/7,未婚,熊本県,074-948-7912,090-9855-5633,ドコモ,ぶっかけ・ルー攻め派
堀北 功補,ほりきた こうすけ,horikita_kousuke@example.com,男,57,1963/12/26,既婚,埼玉県,077-551-4377,090-3536-6302,ドコモ,左ルー・ルー攻め派
とよた 一,とよた はじめ,toyota_hajime@example.com,男,26,1994/12/6,未婚,広島県,020-159-6100,080-3025- 628,au,左ルー・混ぜ混ぜ派
安田 翔,やすだ しょう,yasuda_shou@example.com,男,62,1958/10/23,既婚,長崎県,038-101-9049,090-3409-6065,ドコモ,右ルー・せき止め派
菊地 隼士,きくち しゅんじ,kikuchi_shunji@example.com,男,43,1977/12/16,既婚,長野県,036-510-  43,080-1138-4341,ソフトバンク,ぶっかけ・別口派
安藤 隼士,あんどう しゅんじ,ando_shunji@example.com,男,54,1967/3/5,既婚,大阪府,012-118-9229,090-9657-2131,ドコモ,奥ルー・ルー攻め派
川野 茂樹,かわの しげき,kawano_shigeki@example.com,男,48,1973/7/19,未婚,三重県,022-521-7410,080-5419-6834,ソフトバンク,右ルー・別口派
長友 勝久,ながとも かつひさ,nagatomo_katsuhisa@example.com,男,59,1962/6/1,既婚,山梨県,082-732-4554,090-5785-5919,ドコモ,ぶっかけ・混ぜ混ぜ派
安 完爾,やす かんじ,yasu_kanji@example.com,男,45,1976/1/20,既婚,山梨県,092-982-7838,090-8920-1250,ドコモ,奥ルー・せき止め派
榊原 賢治,さかきばら けんじ,sakakibara_kenji@example.com,男,56,1965/2/14,既婚,熊本県,035-575-9510,080-3033-5952,ドコモ,左ルー・ナン派
有田 三郎,ありた さぶろう,arita_saburou@example.com,男,56,1965/5/9,既婚,愛知県,044-379-8056,080-9289-  38,au,右ルー・別口派
大下 遥,おおした はるか,ooshita_haruka@example.com,女,29,1991/12/7,既婚,福島県,089-970-2313,090-9421-6030,ドコモ,左ルー・せき止め派
羽田 翔,はだ しょう,hada_shou@example.com,男,24,1996/11/14,既婚,愛知県,098-631- 190,090-8048-8504,ソフトバンク,ぶっかけ・混ぜ混ぜ派
井沢 大,いざわ まさる,izawa_masaru@example.com,男,55,1966/4/21,既婚,千葉県,017- 37-4797,090-6603-4287,au,左ルー・ルー攻め派
永井 愛子,ながい あいこ,nagai_aiko@example.com,女,23,1998/3/21,未婚,東京都,072-482-7347,090-8753-2526,ドコモ,右ルー・せき止め派
田端 莉沙,たばた りさ,tabata_risa@example.com,女,73,1947/11/14,既婚,茨城県,074-682-4762,080- 397-1697,ドコモ,左ルー・せき止め派
大後 克実,おおご かつみ,oogo_katsumi@example.com,男,71,1950/9/16,既婚,佐賀県,0 9-366-4026,090- 417-1489,ドコモ,ぶっかけ・ルー攻め派
多田 まなみ,ただ まなみ,tada_manami@example.com,女,60,1960/12/27,既婚,山梨県,091-110-5576,090-3344-7459,ソフトバンク,ぶっかけ・混ぜ混ぜ派
松浦 徹,まつうら とおる,matsuura_tooru@example.com,男,69,1952/6/19,既婚,神奈川県,061- 33-1215,080-6881-1662,ドコモ,右ルー・別口派
少路 法嗣,しょうじ ほうし,shouji_houshi@example.com,男,53,1967/11/16,既婚,東京都,084-910-9040,090-2886-3432,ドコモ,手前ルー・せき止め派
三井 芳正,みつい よしまさ,mitsui_yoshimasa@example.com,男,66,1955/5/7,既婚,愛知県,0 2-342-3079,080-6108-5599,au,奥ルー・混ぜ混ぜ派
栗山 莉央,くりやま りお,kuriyama_rio@example.com,女,69,1952/6/18,既婚,千葉県,096-746-3838,080-7592-8300,ツーカー,左ルー・混ぜ混ぜ派
坪井 はるか,つぼい はるか,tsuboi_haruka@example.com,女,51,1970/8/24,既婚,愛知県,034-509-6165,080-8209-9412,ドコモ,ぶっかけ・せき止め派
米山 彩,よねやま あや,yoneyama_aya@example.com,女,29,1992/9/23,既婚,山梨県,0 9-929-3928,080-3373-4969,ソフトバンク,ぶっかけ・せき止め派
丸田 惇,まるた あつし,maruta_atsushi@example.com,男,38,1983/1/10,既婚,新潟県,037-877-8775,080-1504-9358,ドコモ,左ルー・せき止め派
谷村 綾,たにむら あや,tanimura_aya@example.com,女,46,1975/1/7,既婚,愛知県,027-489-1158,090-3033-4365,ソフトバンク,ぶっかけ・ナン派
矢沢 サンタマリア,やざわ さんたまりあ,yazawa_stmaria@example.com,女,55,1966/1/24,既婚,佐賀県,075-313-9514,080-8983-9928,ドコモ,手前ルー・せき止め派
水口 浩介,みずぐち こうすけ,mizuguchi_kousuke@example.com,男,48,1972/12/21,既婚,奈良県,080-115-9779,090-3262-5596,au,ぶっかけ・ルー攻め派
須賀 禄郎,すが ろくろう,suga_rokurou@example.com,男,37,1984/5/31,未婚,埼玉県,029-945-9351,090-5580-8016,ソフトバンク,奥ルー・別口派
田川 大,たがわ まさる,tagawa_masaru@example.com,男,55,1965/10/5,既婚,福島県,057-467-6692,080-9085-6557,au,右ルー・ルー攻め派
山形 照生,やまがた てるお,yamagata_teruo@example.com,男,62,1959/9/6,既婚,栃木県,035-564-1767,080-3461-4314,ドコモ,別盛り・混ぜ混ぜ派
富岡 千夏,とみおか ちなつ,tomioka_chinatsu@example.com,女,27,1993/11/6,既婚,埼玉県,0 5-398- 421,090- 592- 643,au,左ルー・ルー攻め派
水谷 広之,みずたに ひろゆき,mizutani_hiroyuki@example.com,男,51,1970/8/13,既婚,静岡県,088-268-5357,090-9409-2126,ドコモ,ぶっかけ・せき止め派
大槻 竜次,おおつき りゅうじ,ootsuki_ryuuji@example.com,男,61,1960/9/12,既婚,群馬県,076-  4-4068,090- 582-8184,ドコモ,左ルー・せき止め派
北川 宏,きたかわ ひろし,kitakawa_hiroshi@example.com,男,62,1959/7/14,既婚,青森県,099-682-4660,080-4435-3895,ソフトバンク,右ルー・ナン派
久保田 恵麻,くぼた えま,kubota_ema@example.com,女,50,1971/3/15,既婚,埼玉県,023-990-7732,080-7179-9308,ソフトバンク,ぶっかけ・せき止め派
松野 さゆり,まつの さゆり,matsuno_sayuri@example.com,女,43,1977/10/9,既婚,大阪府,034-714- 500,080-7998-5853,au,右ルー・ルー攻め派
山岡 昴,やまおか すばる,yamaoka_subaru@example.com,男,64,1957/5/1,既婚,埼玉県,066- 39- 399,080-7701-8514,ドコモ,別盛り・別口派
岡村 竜也,おかむら たつや,okamura_tatsuya@example.com,男,77,1944/2/1,既婚,岡山県,058-429-7242,080-9431-2387,ドコモ,右ルー・ルー攻め派
寺島 貴嶺,てらじま たかね,terajima_takane@example.com,男,27,1994/4/4,未婚,愛知県,045-594-5779,080- 807-2919,ドコモ,別盛り・せき止め派
大村 美佳,おおむら みか,oomura_mika@example.com,女,53,1968/6/3,既婚,北海道,077-609-7839,090-1100- 771,au,ぶっかけ・せき止め派
大石 達士,おおいし たつひと,ooishi_tatsuhito@example.com,男,76,1945/1/10,既婚,北海道,082- 89-1460,080- 721-5173,au,左ルー・ルー攻め派
藤井 進,ふじい すすむ,fujii_susumu@example.com,男,62,1959/4/6,既婚,徳島県,083-440-2073,090-5383-9263,ドコモ,ぶっかけ・せき止め派
松崎 雅功,まつざき まさとし,matsuzaki_masatoshi@example.com,男,24,1997/8/11,既婚,新潟県,086-114- 196,090-9369-5035,ドコモ,左ルー・混ぜ混ぜ派
矢田 丈史,やだ たけし,yada_takeshi@example.com,男,48,1973/3/13,既婚,愛知県,070-873-3167,090-4618-8754,ドコモ,右ルー・せき止め派
藤 照生,ふじ てるお,fuji_teruo@example.com,男,31,1989/10/30,未婚,愛媛県,083-632-1921,090-8974-3768,ドコモ,ぶっかけ・せき止め派
羽田 倫子,はた のりこ,hata_noriko@example.com,女,47,1974/2/7,既婚,福岡県,031-  9-4121,080- 368-8264,au,右ルー・せき止め派
山中 ヒロ,やまなか ひろ,yamanaka_hiro@example.com,男,45,1976/7/23,未婚,広島県,085-812-2598,090-2866-6615,au,手前ルー・ナン派
有田 莉緒,ありた りお,arita_rio@example.com,女,65,1956/9/14,既婚,愛知県,074-557-3002,090-3763-6122,ドコモ,左ルー・せき止め派
吉川 亜希,きっかわ あき,kikkawa_aki@example.com,女,80,1940/10/24,既婚,千葉県,011-141-7485,090-4780-8772,ドコモ,左ルー・せき止め派
出口 夏希,でぐち なつき,deguchi_natsuki@example.com,女,67,1954/4/11,既婚,大分県,020-820-9911,080-2404-7547,ソフトバンク,右ルー・混ぜ混ぜ派
塚原 紗季,つかはら さき,tsukahara_saki@example.com,女,53,1967/12/9,既婚,神奈川県,0 5-162-  49,090-1621-9687,au,手前ルー・ルー攻め派
大沢 なつみ,おおさわ なつみ,oosawa_natsumi@example.com,女,64,1957/3/10,既婚,神奈川県,073-958-1064,090-6408-4217,au,左ルー・ルー攻め派
吉村 高史,よしむら たかし,yoshimura_takashi@example.com,男,35,1985/10/3,未婚,福岡県,017-552-9656,080- 762-1938,ドコモ,右ルー・ルー攻め派
塚本 雅彦,つかもと まさひこ,tsukamoto_masahiko@example.com,男,54,1966/12/28,既婚,神奈川県,019-901-3137,090- 418-8786,ドコモ,別盛り・せき止め派
相川 コウ,あいかわ こう,aikawa_kou@example.com,女,29,1992/6/23,既婚,島根県,066-895-6697,090-2904-4784,au,左ルー・ルー攻め派
後藤 遥,ごとう はるか,gotou_haruka@example.com,女,75,1946/7/5,既婚,宮城県,033-711-8992,080-1266-5810,ドコモ,左ルー・ルー攻め派
勝又 朝香,かつまた あさか,katsumata_asaka@example.com,女,44,1976/12/3,既婚,大分県,085-585-3084,090-4813-7941,ソフトバンク,ぶっかけ・ナン派
武 恵梨香,たけ えりか,take_erika@example.com,女,20,2000/12/11,既婚,熊本県,075-168-2782,090-8856-7973,au,ぶっかけ・せき止め派
松居 薫,まつい かおる,matsui_kaoru@example.com,男,59,1962/1/7,既婚,東京都,0  -695-2039,090- 484-4683,ソフトバンク,左ルー・ルー攻め派
金山 季衣,かなやま としえ,kanayama_toshie@example.com,女,22,1999/2/13,未婚,福島県,049-954-8052,080-2758-3770,ドコモ,右ルー・混ぜ混ぜ派
川島 郁恵,かわしま いくえ,kawashima_ikue@example.com,女,24,1997/9/15,既婚,茨城県,035-524-8091,090-8678-7890,ドコモ,ぶっかけ・別口派
清田 まひる,きよた まひる,kiyota_mahiru@example.com,女,23,1997/12/27,未婚,千葉県,014-615-9215,080-4783-8508,ソフトバンク,ぶっかけ・せき止め派
菅野 美佐,かんの みさ,kanno_misa@example.com,女,21,2000/8/20,既婚,千葉県,067-126-6581,080- 650-7127,ソフトバンク,ぶっかけ・ルー攻め派
稲葉 育二,いなば いくじ,inaba_ikuji@example.com,男,38,1983/9/4,未婚,千葉県,095-295-4722,090-8080-7674,au,右ルー・別口派
平山 瑠璃亜,ひらやま るりあ,hirayama_ruria@example.com,女,52,1969/5/13,既婚,新潟県,056-995-6788,080-8413-1152,ドコモ,ぶっかけ・ルー攻め派
浅倉 貴嶺,あさくら たかね,asakura_takane@example.com,男,52,1969/7/25,既婚,群馬県,010-282-4313,080-8836-8968,au,左ルー・別口派
梅村 隆博,うめむら たかひろ,umemura_takahiro@example.com,男,24,1997/8/26,未婚,北海道,011-806-7111,090-6409-5068,ドコモ,ぶっかけ・せき止め派
森島 隆之介,もりしま りゅうのすけ,morishima_ryuunosuke@example.com,男,67,1954/6/13,既婚,神奈川県,059- 62-4751,090-3177-5145,ドコモ,右ルー・混ぜ混ぜ派
天野 草太,あまの そうた,amano_souta@example.com,男,39,1982/7/14,既婚,大阪府,077- 24-3606,080-3230-2406,ドコモ,ぶっかけ・混ぜ混ぜ派
森山 徹,もりやま とおる,moriyama_tohru@example.com,男,74,1947/2/18,既婚,福岡県,083-195- 798,080- 262-1885,ドコモ,ぶっかけ・ルー攻め派
後藤 まひる,ごとう まひる,gotou_mahiru@example.com,女,61,1960/5/13,既婚,奈良県,072-991-6825,090-7401-5914,ドコモ,左ルー・ルー攻め派
米沢 まひる,よねざわ まひる,yonezawa_mahiru@example.com,女,41,1980/8/9,既婚,滋賀県,088-395-4917,080-2452-9679,ドコモ,右ルー・ルー攻め派
西村 恵子,にしむら けいこ,nishimura_keiko@example.com,女,60,1961/6/28,未婚,神奈川県,030-514-  65,080-1163-1843,ドコモ,手前ルー・ルー攻め派
三浦 有起哉,みうら ゆきや,miura_yukiya@example.com,男,26,1995/7/7,未婚,埼玉県,082-500-9331,090-2309-2786,au,左ルー・ルー攻め派
坂東 光良,ばんとう てるよし,banntou_teruyoshi@example.com,男,72,1949/5/1,既婚,大阪府,053- 95-9241,080-4287-3414,ソフトバンク,右ルー・混ぜ混ぜ派
日野 桃子,ひの ももこ,hino_momoko@example.com,女,70,1951/9/22,既婚,神奈川県,067-575-6503,090-2372-3113,ドコモ,左ルー・せき止め派
大久保 夏希,おおくぼ なつき,ookubo_natsuki@example.com,女,41,1980/2/14,既婚,千葉県,050- 94-8018,080-8577-1466,au,ぶっかけ・ルー攻め派
